id,title,startYear,runtimeMinutes,numVotes,countryOfOrigin,awardsOrNominations,awards,nominations
tt14051976,Camp Hideout,2023,100,1162,US,False,0.0,0.0
tt1398426,Straight Outta Compton,2015,147,229240,"US,JP",True,28.0,40.0
tt14109724,Ticket to Paradise,2022,104,79094,"GB,JP,US",True,0.0,4.0
tt1413492,12 Strong,2018,130,98013,US,True,0.0,3.0
tt14061478,Lamb of God: The Concert Film,2021,90,165,US,False,0.0,0.0
tt1418377,"I, Frankenstein",2014,92,85285,"US,AU",True,0.0,1.0
tt14088510,Tarot,2024,92,33881,"RS,US",True,1.0,0.0
tt14097180,Somewhere in Queens,2022,106,6139,US,True,0.0,2.0
tt14208870,The Fabelmans,2022,151,129986,"US,IN",True,32.0,297.0
tt14209916,Cocaine Bear,2023,95,122536,"US,IE,NZ,NL,GB",True,1.0,10.0
tt14230388,Asteroid City,2023,105,136948,US,True,4.0,84.0
tt1408253,Ride Along,2014,99,127393,US,True,1.0,7.0
tt1433813,Hubble,2010,45,4617,"US,CA",True,1.0,0.0
tt14351082,Cabrini,2024,142,9262,US,True,4.0,11.0
tt14362112,Trolls Band Together,2023,91,18794,"US,GB",True,5.0,6.0
tt1431045,Deadpool,2016,108,1220171,US,True,29.0,78.0
tt14439896,Father Stu,2022,124,34617,"US,KR",True,2.0,5.0
tt14230458,Poor Things,2023,141,350604,"IE,GB,US,HU",True,120.0,419.0
tt14454876,Golda,2023,100,14504,"GB,US",True,1.0,10.0
tt14444726,Tár,2022,158,105495,US,True,79.0,271.0
tt14331144,Jujutsu Kaisen 0,2021,112,52363,JP,True,1.0,2.0
tt1430612,Brick Mansions,2014,90,45192,"FR,CA,US,ES",True,0.0,1.0
tt14539740,Godzilla x Kong: The New Empire,2024,115,126722,"US,AU",True,4.0,5.0
tt14561712,La Chimera,2023,131,18869,"IT,FR,CH,TR",True,14.0,53.0
tt1448754,Thanksgiving,2023,106,74009,"US,CA,AU",True,1.0,13.0
tt14537248,Nefarious,2023,97,35922,US,True,1.0,1.0
tt14614892,Dragon Ball Super: Super Hero,2022,100,17696,JP,True,0.0,2.0
tt1454468,Gravity,2013,91,886560,"GB,US",True,240.0,188.0
tt1458169,Kidnap,2017,95,40494,US,True,2.0,4.0
tt14570440,Radical,2023,125,7067,"US,MX",True,18.0,23.0
tt1464335,Uncharted,2022,116,287908,"ES,US",True,0.0,3.0
tt1462764,Indiana Jones and the Dial of Destiny,2023,154,223747,US,True,8.0,36.0
tt14849194,The Holdovers,2023,133,205316,US,True,137.0,209.0
tt14668630,"Lyle, Lyle, Crocodile",2022,106,17325,"US,GB,IT",True,1.0,2.0
tt1485796,The Greatest Showman,2017,105,334620,"US,CN",True,17.0,32.0
tt1489887,Booksmart,2019,102,137074,US,True,29.0,60.0
tt1478839,The Art of Racing in the Rain,2019,109,43070,US,False,0.0,0.0
tt1477834,Aquaman,2018,143,542416,US,True,3.0,36.0
tt1469304,Baywatch,2017,116,213361,"GB,CN,US",True,5.0,11.0
tt1490017,The Lego Movie,2014,100,405854,"US,DK,AU,NO",True,72.0,67.0
tt1489889,Central Intelligence,2016,107,229608,"US,CN",True,2.0,8.0
tt14966898,Late Night with the Devil,2023,93,132667,"AU,AE,US",True,11.0,38.0
tt15078804,Problemista,2023,104,8810,US,True,2.0,16.0
tt15109082,The Quiet Girl,2022,95,26641,IE,True,33.0,43.0
tt1502397,Bad Boys for Life,2020,124,192338,US,True,3.0,15.0
tt15239678,Dune: Part Two,2024,166,658003,"US,CA,AE,HU,IT,NZ,JO,GM",True,113.0,371.0
tt1502407,Halloween,2018,106,180403,US,True,4.0,27.0
tt1502712,Fantastic Four,2015,100,188257,"US,DE,GB,CA",True,8.0,4.0
tt1517451,A Star Is Born,2018,136,439288,US,True,99.0,288.0
tt15242330,The First Slam Dunk,2022,124,11884,JP,True,1.0,5.0
tt1517268,Barbie,2023,114,621715,"US,GB",True,209.0,434.0
tt1524930,Vacation,2015,99,128269,US,True,1.0,3.0
tt15325794,Fall,2022,107,126502,"GB,US",True,0.0,4.0
tt15339456,Marcel the Shell with Shoes On,2021,90,32223,US,True,38.0,67.0
tt15339570,Champions,2023,124,34221,US,True,3.0,3.0
tt1528100,Exodus: Gods and Kings,2014,150,184296,"GB,ES,US",True,0.0,6.0
tt15255876,Emily the Criminal,2022,97,64815,US,True,9.0,25.0
tt15314262,The Beekeeper,2024,105,166242,"GB,US",True,1.0,6.0
tt1528854,Daddy's Home,2015,96,135713,US,True,1.0,4.0
tt15474916,Smile,2022,115,222834,US,True,3.0,22.0
tt15428940,Jules,2023,87,16560,US,True,2.0,5.0
tt15398776,Oppenheimer,2023,180,926732,"US,GB",True,363.0,366.0
tt1563742,Overboard,2018,112,43178,US,True,3.0,7.0
tt15671028,No Hard Feelings,2023,103,203847,US,True,1.0,10.0
tt1560220,Zombieland: Double Tap,2019,99,218033,US,True,0.0,6.0
tt15574270,I Saw the TV Glow,2024,100,39747,"US,GB",True,12.0,91.0
tt15791034,Barbarian,2022,102,233406,"BG,US",True,5.0,38.0
tt15488088,Moving On,2022,85,4286,US,True,0.0,2.0
tt1571249,The Skeleton Twins,2014,93,46168,US,True,4.0,12.0
tt15837338,PAW Patrol: The Mighty Movie,2023,88,6137,"CA,US",True,1.0,8.0
tt1587310,Maleficent,2014,97,416638,"US,CA,GB",True,12.0,44.0
tt15789038,Elemental,2023,101,154447,US,True,2.0,68.0
tt1609486,Harold and the Purple Crayon,2024,90,9171,US,True,0.0,2.0
tt1615160,The Foreigner,2017,113,129317,"GB,CN,US,IN,CH",True,0.0,1.0
tt1594972,Norm of the North,2016,90,10486,"US,IN,IE,CN",False,0.0,0.0
tt1590193,The Commuter,2018,104,130762,"US,GB,FR,CN,CA,ES",True,0.0,2.0
tt1619029,Jackie,2016,100,85867,"US,FR,CL,CN",True,44.0,170.0
tt1617661,Jupiter Ascending,2015,127,199311,"US,AU",True,4.0,16.0
tt1596345,Pawn Sacrifice,2014,115,52832,US,True,1.0,1.0
tt1620680,A Wrinkle in Time,2018,109,49137,US,True,5.0,17.0
tt1618442,The Last Witch Hunter,2015,106,114349,"US,CN,CA",True,0.0,1.0
tt1596363,The Big Short,2015,130,518754,US,True,37.0,81.0
tt16227014,Fire of Love,2022,98,16032,"CA,US",True,35.0,70.0
tt1631867,Edge of Tomorrow,2014,113,782061,"US,CA,IN",True,11.0,38.0
tt1620981,The Addams Family,2019,86,47629,"CA,US,GB,VN",True,4.0,6.0
tt16419074,Air,2023,111,186774,US,True,5.0,48.0
tt1638355,The Man from U.N.C.L.E.,2015,116,349753,"GB,US",True,8.0,7.0
tt1630029,Avatar: The Way of Water,2022,192,543251,US,True,73.0,152.0
tt1628841,Independence Day: Resurgence,2016,120,196136,"US,IN",True,3.0,17.0
tt1646971,How to Train Your Dragon 2,2014,102,389598,"US,IN",True,15.0,61.0
tt16428256,Suzume,2022,122,56331,JP,True,4.0,29.0
tt16426418,Challengers,2024,131,162727,"IT,US",True,74.0,151.0
tt1661382,Grudge Match,2013,113,64180,US,True,1.0,1.0
tt1661199,Cinderella,2015,105,200668,"GB,US,DK,CA,IT",True,10.0,40.0
tt1648190,The Dark Tower,2017,95,152128,US,True,0.0,4.0
tt1655441,The Age of Adaline,2015,112,222766,"US,CA",True,1.0,10.0
tt1677720,Ready Player One,2018,140,524325,"US,IN,SG,CA,GB,JP,AU",True,11.0,57.0
tt1663202,The Revenant,2015,156,919818,"US,HK,TW,AR",True,94.0,193.0
tt1679335,Trolls,2016,92,97955,"US,IN,GB,DE",True,4.0,37.0
tt1674771,Entourage,2015,104,84762,US,False,0.0,0.0
tt1661275,Their Finest,2016,117,21913,"GB,SE,FR",True,1.0,7.0
tt1666801,The DUFF,2015,101,105375,US,True,1.0,8.0
tt1695843,Haunted Mansion,2023,123,47991,"US,CA",True,0.0,8.0
tt1698641,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,81,48217,"US,AU",True,1.0,8.0
tt1684562,The Fall Guy,2024,126,232550,"CA,AU,US",True,22.0,46.0
tt1686821,Vampire Academy,2014,104,58077,"GB,US,IN",True,0.0,2.0
tt1691916,Before I Fall,2017,98,59184,US,True,2.0,2.0
tt1706620,Snowpiercer,2013,126,410497,"KR,CZ",True,35.0,108.0
tt17024450,The Equalizer 3,2023,109,151669,"US,IT,AU",True,0.0,6.0
tt1700841,Sausage Party,2016,89,221593,"CA,US",True,1.0,26.0
tt1727824,Bohemian Rhapsody,2018,134,627824,"GB,US",True,50.0,80.0
tt17009710,Anatomy of a Fall,2023,151,180360,FR,True,127.0,189.0
tt1730768,The Zookeeper's Wife,2017,127,48524,"CZ,GB,US",True,2.0,4.0
tt17279496,Civil War,2024,109,249004,"US,GB,FI",True,8.0,58.0
tt1742044,Jersey Boys,2014,134,37994,US,True,4.0,2.0
tt1745960,Top Gun: Maverick,2022,130,798007,US,True,111.0,235.0
tt1762399,Walking with Dinosaurs 3D,2013,87,12269,"IN,GB,AU,US",True,0.0,2.0
tt17351924,Saltburn,2023,131,249291,"GB,US",True,15.0,107.0
tt1741273,Secret in Their Eyes,2015,111,54005,"US,GB,ES,KR",True,2.0,3.0
tt17663992,Scream VI,2023,122,141334,"US,CA,GB",True,4.0,27.0
tt1753383,A Dog's Purpose,2017,100,84099,"US,IN",True,0.0,3.0
tt17527468,Bottoms,2023,91,53896,US,True,5.0,24.0
tt1791528,Inherent Vice,2014,148,115218,US,True,15.0,99.0
tt1798603,Bad Santa 2,2016,92,30250,"US,GB,CA",True,1.0,2.0
tt1798684,Southpaw,2015,124,271178,"US,CN,HK",True,0.0,11.0
tt1798709,Her,2013,126,708886,US,True,83.0,187.0
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,2017,129,371264,"US,AU,GB,CA",True,1.0,14.0
tt1772288,Danny Collins,2015,106,34363,US,True,2.0,3.0
tt1781922,No Escape,2015,103,96997,US,True,2.0,1.0
tt1800241,American Hustle,2013,138,512083,"US,CN",True,70.0,228.0
tt1790864,The Maze Runner,2014,113,542529,"US,GB",True,4.0,12.0
tt1800246,That Awkward Moment,2014,94,109495,US,True,1.0,2.0
tt1823664,Annie,2014,118,42549,US,True,3.0,18.0
tt1821549,Nebraska,2013,115,126752,US,True,29.0,170.0
tt1809398,Unbroken,2014,137,193024,"US,JP",True,14.0,33.0
tt1838556,Honest Thief,2020,99,61586,US,True,0.0,1.0
tt1810683,Little Boy,2015,106,24688,"MX,US",True,0.0,2.0
tt1821658,The Nut Job,2014,85,31610,"CA,KR,US",True,1.0,5.0
tt18412256,Alien: Romulus,2024,119,261228,"GB,US,HU,AU,NZ,CA",True,14.0,55.0
tt1840309,Divergent,2014,139,509170,US,True,7.0,11.0
tt1826590,About Last Night,2014,100,25673,"US,NP",True,0.0,1.0
tt1825683,Black Panther,2018,134,885839,US,,,
tt1843866,Captain America: The Winter Soldier,2014,136,946088,US,True,5.0,52.0
tt1860213,Dirty Grandpa,2016,102,139155,"US,GB",True,2.0,11.0
tt1860357,Deepwater Horizon,2016,107,193590,"HK,US",True,4.0,15.0
tt1856080,The Boys in the Boat,2023,123,28715,US,True,2.0,6.0
tt1856101,Blade Runner 2049,2017,164,724488,"US,CA,ES",True,100.0,164.0
tt1850457,Sisters,2015,118,72482,US,True,0.0,4.0
tt1877830,The Batman,2022,176,889185,US,True,39.0,175.0
tt1877832,X-Men: Days of Future Past,2014,132,775406,"GB,US,CA",True,16.0,48.0
tt1872194,The Judge,2014,141,215184,US,True,3.0,10.0
tt1872181,The Amazing Spider-Man 2,2014,142,570745,US,True,4.0,30.0
tt1929263,Heaven Is for Real,2014,99,29553,"US,CA",True,1.0,5.0
tt1895587,Spotlight,2015,129,523413,US,True,124.0,145.0
tt1896747,Fly Me to the Moon,2024,132,53671,US,True,2.0,4.0
tt1911658,Penguins of Madagascar,2014,92,110755,"US,GB",True,0.0,8.0
tt1924435,Let's Be Cops,2014,104,142843,US,True,0.0,2.0
tt1950186,Ford v Ferrari,2019,152,537928,US,True,26.0,86.0
tt1946502,UglyDolls,2019,87,8353,"CN,LT,US,GB,CA",True,1.0,1.0
tt19406606,The Shift,2023,115,6016,US,True,2.0,1.0
tt1935859,Miss Peregrine's Home for Peculiar Children,2016,127,203119,"US,GB,BE,CA",True,2.0,12.0
tt1951264,The Hunger Games: Catching Fire,2013,146,754990,US,True,22.0,68.0
tt1951266,The Hunger Games: Mockingjay - Part 2,2015,137,399446,"US,DE,CA,FR",True,15.0,34.0
tt1951265,The Hunger Games: Mockingjay - Part 1,2014,123,530324,"US,CA,FR",True,21.0,32.0
tt1959563,The Hitman's Bodyguard,2017,118,258189,"US,HK,BG,NL,CA,GB,FR",True,1.0,8.0
tt19637052,Love Lies Bleeding,2024,104,59816,"GB,US",True,5.0,49.0
tt1961175,American Assassin,2017,111,97498,"US,HK",True,0.0,2.0
tt1959490,Noah,2014,138,272809,US,True,1.0,19.0
tt1956620,Sex Tape,2014,94,121390,US,True,2.0,3.0
tt1972591,King Arthur: Legend of the Sword,2017,126,242392,"GB,US,IN,CA",True,0.0,10.0
tt1972571,A Most Wanted Man,2014,122,83246,"GB,US,DE",True,3.0,6.0
tt1966359,Father Figures,2017,113,23209,US,True,0.0,1.0
tt1972779,The Best of Me,2014,118,79836,US,False,0.0,0.0
tt1979388,The Good Dinosaur,2015,93,135495,"US,JP",True,9.0,41.0
